,_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,Plx,e_Plx,B-V,Notes,SpType
163,0.5191360406,59.9401016991,164,00 02 04.46,+59 56 24.0,7.98,4.41,0.82, 0.970, ,G9III
164,0.5197325433,-22.3274865187,165,00 02 04.74,-22 19 38.9,10.16,-0.59,1.74, 0.450, ,Ap...
165,0.5213171302,-56.514930858,166,00 02 05.17,-56 30 53.6,8.86,9.46,1.18, 0.660, ,G3V
166,0.5278262049,39.1832029785,167,00 02 06.67,+39 10 59.6,8.58,3.5,0.9, 0.060, ,B9
167,0.5334286925,-2.8200722453,168,00 02 08.05,-02 49 11.4,9.56,1.95,1.34, 1.113, ,R...
168,0.5363834676,-68.2807693372,169,00 02 08.41,-68 16 48.7,9.24,63.03,1.98, 1.390, ,M0V
169,0.5376004112,-20.8716623665,170,00 02 09.04,-20 52 17.9,9.63,5.96,2.02, 0.509, ,F5V
170,0.5423132141,27.082256034,171,00 02 09.65,+27 05 04.2,5.8,80.63,3.03, 0.690, ,G3V
171,0.5428714457,67.4089524782,172,00 02 10.29,+67 24 32.2,9.05,1.27,1.11, 0.976, ,O7
172,0.5495685329,47.5772057408,173,00 02 11.90,+47 34 38.0,8.45,1.31,1.03, 0.248, ,A2
173,0.5516405359,59.9653380069,174,00 02 12.38,+59 57 55.2,8.86,3.89,1.83, 1.035, ,G9II-III
174,0.5524079057,49.7710861297,175,00 02 12.58,+49 46 16.1,7.84,3.98,0.87, 0.923, ,G5
175,0.5533988111,44.4282621505,176,00 02 12.80,+44 25 41.8,8.86,3.82,1.07, 0.530, ,K0
176,0.5602276627,-11.9643520068,177,00 02 14.45,-11 57 51.6,8.93,5.47,1.25, 0.172, ,A1m...
177,0.5680682788,-27.1351529377,178,00 02 16.27,-27 08 06.6,7.97,9.02,2.5, 0.556, ,F7V
178,0.5695149635,-13.4074374454,179,00 02 16.53,-13 24 27.1,6.9,14.91,0.9, 0.534, ,G0V
179,0.5709120105,-9.1749278711,180,00 02 17.02,-09 10 29.6,8.47,2.8,1.12, 1.171, ,K0
180,0.5737724134,60.7031677424,181,00 02 17.72,+60 42 11.5,6.77,2.51,0.64, 1.832,P,M0
181,0.5811952133,52.5864067621,182,00 02 19.48,+52 35 11.2,8.55,3.32,1.16, 1.004, ,K0
182,0.5830027756,-29.7204140222,183,00 02 19.91,-29 43 13.6,5.04,6.4,0.87,-0.150, ,B4V
183,0.5897690883,11.0062358857,184,00 02 21.55,+11 00 22.8,8.48,29.75,1.21, 0.888, ,K0
184,0.5900380416,10.7853625818,185,00 02 21.64,+10 47 08.3,8.53,11.74,1.8, 0.530, ,F8
185,0.6006957793,8.9568236104,186,00 02 24.17,+08 57 24.6,6.33,7.55,0.82, 0.182, ,A6V
186,0.6022829039,-6.0592700432,187,00 02 24.51,-06 03 33.1,8.99,6.69,1.38, 0.500, ,G0
187,0.6026937756,6.3330129475,188,00 02 24.60,+06 19 59.3,8.64,10.49,1.23, 0.488, ,F5
188,0.6052334858,54.135139428,189,00 02 25.27,+54 08 06.6,9.55,2.49,1.41, 0.237, ,A3
189,0.6054341208,10.7763636746,190,00 02 25.33,+10 46 35.9,8.74,10.47,1.17, 0.570, ,G0
190,0.6129606195,-46.0288958254,191,00 02 26.95,-46 01 43.8,12.43,22.98,4.38, 1.490, ,M3
191,0.6198268213,8.3938594136,192,00 02 28.76,+08 23 38.1,8.16,3.31,1.11, 1.032, ,G5
192,0.6217301957,-39.2125913223,193,00 02 29.19,-39 12 45.0,9.46,4.77,1.47, 0.944, ,G8/K0III
193,0.6237594849,8.4854630885,194,00 02 29.76,+08 29 08.1,5.7,26.53,0.77, 0.315, ,F0V
194,0.6257810606,47.4228902175,195,00 02 30.18,+47 25 22.7,7.62,8.08,1.0, 0.517, ,F8
195,0.6270057285,51.8299760557,196,00 02 30.48,+51 49 47.9,8.95,0.98,1.18, 1.677, ,K5
196,0.6323037402,42.1477794183,197,00 02 31.76,+42 08 52.1,8.97,1.62,1.16, 0.952, ,K0
197,0.6327486717,15.3351727658,198,00 02 31.85,+15 20 06.7,8.94,5.12,1.11, 0.276, ,A0
198,0.6350042732,16.2565648242,199,00 02 32.41,+16 15 23.6,7.24,4.07,0.88, 0.074, ,A0
199,0.6354889988,-33.9926326635,200,00 02 32.51,-33 59 33.6,10.32,3.17,1.67, 0.323, ,F2
